Array Size,, Cutoff, Run Time
2000,,1000,7.805075756
2000,,1010,9.908499087
2000,,1020,28.14046007
2000,,1030,23.86641696
2000,,1040,8.677050932
2000,,1050,6.44511033
2000,,1060,7.777826449
2000,,1070,6.181207975
2000,,1080,6.161014791
2000,,1090,6.645346057
2000,,1100,5.633053007
2000,,1110,7.128399963
2000,,1120,6.550801501
2000,,1130,5.627865673
2000,,1140,5.51589794
2000,,1150,5.464306139
2000,,1160,5.609772416
2000,,1170,6.200492162
2000,,1180,5.501315224
2000,,1190,5.648011828
2000,,1200,6.037653518
2000,,1210,10.18741522
2000,,1220,6.367957913
2000,,1230,5.596372982
2000,,1240,5.574334429
2000,,1250,6.05513944
2000,,1260,5.525645834
2000,,1270,5.659182006
2000,,1280,7.164456952
2000,,1290,6.750320046
2000,,1300,5.636967064
2000,,1310,6.077659863
2000,,1320,6.270882323
2000,,1330,5.864283614
2000,,1340,5.726324132
2000,,1350,5.789614941
2000,,1360,6.03735192
2000,,1370,6.211070689
2000,,1380,6.404586791
2000,,1390,6.024692971
2000,,1400,6.103788867
2000,,1410,6.126932334
2000,,1420,5.864636246
2000,,1430,9.027736265
2000,,1440,6.558410256
2000,,1450,6.587360051
2000,,1460,5.712815051
2000,,1470,5.793254697
2000,,1480,5.845951387
2000,,1490,6.587344465
2000,,1500,5.768446095
2000,,1510,5.811054042
2000,,1520,5.828469465
2000,,1530,5.819963554
2000,,1540,5.807520109
2000,,1550,7.105930342
2000,,1560,5.766706635
2000,,1570,4.250935342
2000,,1580,5.122882758
2000,,1590,4.247362201
2000,,1600,4.296873503
2000,,1610,4.217401437
2000,,1620,4.289370514
2000,,1630,4.466693859
2000,,1640,4.409142783
2000,,1650,9.965787582
2000,,1660,4.343987144
2000,,1670,4.322767359
2000,,1680,4.321545026
2000,,1690,4.772514615
2000,,1700,4.252279175
2000,,1710,4.332746347
2000,,1720,4.281354415
2000,,1730,4.316651448
2000,,1740,4.322336392
2000,,1750,4.356551959
2000,,1760,4.277828282
2000,,1770,4.309512892
2000,,1780,4.27928567
2000,,1790,4.298906936
2000,,1800,4.27258207
2000,,1810,4.262187692
2000,,1820,4.365461414
2000,,1830,4.251613082
2000,,1840,4.259558781
2000,,1850,4.616830258
2000,,1860,4.31261204
2000,,1870,4.473111437
2000,,1880,4.354808472
2000,,1890,4.280206426
2000,,1900,4.378273181
2000,,1910,4.356928082
2000,,1920,4.443758071
2000,,1930,4.322751649
2000,,1940,4.361637537
2000,,1950,4.297876448
2000,,1960,4.299859014
2000,,1970,4.276617581
2000,,1980,4.309019192
2000,,1990,4.640953292
2000,,2000,4.299913818
2000,,2010,4.698731514
2000,,2020,7.087253274
2000,,2030,4.353613523
2000,,2040,4.308870326
2000,,2050,4.279520848
2000,,2060,4.307283548
2000,,2070,4.283058726
2000,,2080,4.380475092
2000,,2090,4.297402449
2000,,2100,4.365661248
2000,,2110,4.340433426
2000,,2120,4.328718793
2000,,2130,4.562092404
2000,,2140,4.688133328
2000,,2150,4.659254041
2000,,2160,4.823177907
2000,,2170,4.618769754
2000,,2180,4.667795207
2000,,2190,4.892506319
2000,,2200,4.553241732
2000,,2210,4.664504139
2000,,2220,4.524429018
2000,,2230,4.519210328
2000,,2240,4.621633761
2000,,2250,4.43524434
2000,,2260,4.846579916
2000,,2270,4.510774943
2000,,2280,4.610205083
2000,,2290,4.465561551
2000,,2300,4.433598783
2000,,2310,4.475732605
2000,,2320,4.342858694
2000,,2330,4.457353348
2000,,2340,4.848836638
2000,,2350,4.413734754
2000,,2360,4.459602249
2000,,2370,4.341538383
2000,,2380,4.388589193
2000,,2390,5.148118393
2000,,2400,4.343211235
2000,,2410,4.309187615
2000,,2420,4.328178015
2000,,2430,4.300282037
2000,,2440,4.194387314
2000,,2450,4.270548702
2000,,2460,4.585929259
2000,,2470,4.299533807
2000,,2480,4.559028603
2000,,2490,4.271069784
2000,,2500,4.264613025
2000,,2510,4.248087003
2000,,2520,4.316494714
2000,,2530,4.280743181
2000,,2540,4.338615492
2000,,2550,4.198661859
2000,,2560,4.411329102
2000,,2570,4.673734916
2000,,2580,4.380008796
2000,,2590,4.300909038
2000,,2600,4.344202548
2000,,2610,4.336723237
2000,,2620,4.313587482
2000,,2630,4.224869115
2000,,2640,4.275775191
2000,,2650,4.325803848
2000,,2660,4.289844681
2000,,2670,4.659281537
2000,,2680,4.318144096
2000,,2690,4.347376081
2000,,2700,4.314202715
2000,,2710,4.286432081
2000,,2720,4.375138792
2000,,2730,4.311832338
2000,,2740,4.301343892
2000,,2750,4.297426014
2000,,2760,4.332667981
2000,,2770,4.338979826
2000,,2780,4.33932067
2000,,2790,4.388538204
2000,,2800,4.378520049
2000,,2810,4.390219071
2000,,2820,4.348441782
2000,,2830,4.325137726
2000,,2840,4.307753726
2000,,2850,4.193701715
2000,,2860,4.252451624
2000,,2870,4.271328403
2000,,2880,4.26436217
2000,,2890,4.288559681
2000,,2900,4.319871948
2000,,2910,4.306351037
2000,,2920,4.344582526
2000,,2930,4.36034057
2000,,2940,4.318680837
2000,,2950,4.338082748
2000,,2960,4.275015159
2000,,2970,4.260612681
2000,,2980,4.293480603
2000,,2990,4.278196581
2000,,3000,4.332154825
2000,,3010,4.310527615
2000,,3020,4.33657817
2000,,3030,4.643511726
2000,,3040,4.309751874
2000,,3050,4.304662415
2000,,3060,4.240705559
2000,,3070,4.306186447
2000,,3080,4.469573515
2000,,3090,4.325212172
2000,,3100,4.304098226
2000,,3110,4.301716048
2000,,3120,4.360493403
2000,,3130,3.389809315
2000,,3140,3.427221927
2000,,3150,3.419248938
2000,,3160,3.472078782
2000,,3170,3.379207261
2000,,3180,3.526930249
2000,,3190,3.478006684
2000,,3200,3.443571672
2000,,3210,3.358916183
2000,,3220,3.416474948
2000,,3230,3.390283416
2000,,3240,3.429404227
2000,,3250,3.358473349
2000,,3260,3.365729448
2000,,3270,3.383250704
2000,,3280,3.95897226
2000,,3290,3.403106888
2000,,3300,3.345665616
2000,,3310,3.375873048
2000,,3320,3.409485326
2000,,3330,3.350845127
2000,,3340,3.410895759
2000,,3350,3.339306727
2000,,3360,3.325010015
2000,,3370,3.364213193
2000,,3380,3.384927493
2000,,3390,3.431320204
2000,,3400,3.407263827
2000,,3410,3.400646271
2000,,3420,3.396003649
2000,,3430,3.377224793
2000,,3440,3.382984193
2000,,3450,3.351648315
2000,,3460,3.335780493
2000,,3470,3.331451115
2000,,3480,3.354614181
2000,,3490,3.360808548
2000,,3500,3.398111471
2000,,3510,3.394734149
2000,,3520,3.38930786
2000,,3530,3.443638293
2000,,3540,3.493470849
2000,,3550,3.53860585
2000,,3560,3.339193084
2000,,3570,3.464666004
2000,,3580,3.41499395
2000,,3590,3.433071493
2000,,3600,3.444437516
2000,,3610,3.377346183
2000,,3620,3.42349206
2000,,3630,3.379117138
2000,,3640,3.393312026
2000,,3650,3.393562715
2000,,3660,3.345320782
2000,,3670,3.380382593
2000,,3680,3.395404182
2000,,3690,3.385801271
2000,,3700,4.020210104
2000,,3710,3.416733511
2000,,3720,3.479080116
2000,,3730,4.38478485
2000,,3740,3.39139216
2000,,3750,6.569157093
2000,,3760,4.148770429
2000,,3770,3.400932479
2000,,3780,3.417430993
2000,,3790,3.396759749
2000,,3800,3.382165327
2000,,3810,3.370732726
2000,,3820,3.363010404
2000,,3830,3.393057282
2000,,3840,3.802112682
2000,,3850,4.684023476
2000,,3860,4.207880819
2000,,3870,3.668870436
2000,,3880,6.93859793
2000,,3890,4.69157341
2000,,3900,3.794143463
2000,,3910,4.394062575
2000,,3920,3.979878627
2000,,3930,4.294847889
2000,,3940,3.429839181
2000,,3950,9.482408427
2000,,3960,3.503869139
2000,,3970,3.849449428
2000,,3980,3.400701232
2000,,3990,3.388328293
2000,,4000,3.411620627
2000,,4010,3.354990327
2000,,4020,3.539079871
2000,,4030,3.403569173
2000,,4040,3.435418371
2000,,4050,3.395310105
2000,,4060,3.309600727
2000,,4070,3.408721337
2000,,4080,3.404403682
2000,,4090,3.422120816
2000,,4100,3.397508082
2000,,4110,3.383481827
2000,,4120,3.612808193
2000,,4130,4.978725129
2000,,4140,5.391067522
2000,,4150,3.355554527
2000,,4160,3.38041016
2000,,4170,3.409262093
2000,,4180,3.438176638
2000,,4190,3.456986816
2000,,4200,3.491331616
2000,,4210,3.503590928
2000,,4220,3.52003865
2000,,4230,3.466483795
2000,,4240,3.534633072
2000,,4250,3.51310375
2000,,4260,3.535683017
2000,,4270,3.594699328
2000,,4280,3.583783929
2000,,4290,3.569608673
2000,,4300,3.444363106
2000,,4310,3.42297486
2000,,4320,3.508825427
2000,,4330,3.438560528
2000,,4340,3.431903983
2000,,4350,3.366822605
2000,,4360,3.356212682
2000,,4370,3.387423315
2000,,4380,3.375704582
2000,,4390,3.363225882
2000,,4400,3.38097026
2000,,4410,3.371281304
2000,,4420,3.398695204
2000,,4430,3.401845304
2000,,4440,3.407984716
2000,,4450,3.386377193
2000,,4460,3.38459456
2000,,4470,4.28865366
2000,,4480,3.369921681
2000,,4490,3.365698149
2000,,4500,3.387482071
2000,,4510,3.406797593
2000,,4520,3.413806871
2000,,4530,3.403165638
2000,,4540,3.414041916
2000,,4550,3.391380371
2000,,4560,3.447231004
2000,,4570,3.400810916
2000,,4580,3.387051071
2000,,4590,3.403244071
2000,,4600,3.437071738
2000,,4610,3.460458005
2000,,4620,3.389589861
2000,,4630,3.693228382
2000,,4640,3.477822463
2000,,4650,3.537305061
2000,,4660,3.496754162
2000,,4670,3.53676445
2000,,4680,3.517774039
2000,,4690,3.451325317
2000,,4700,3.457257027
2000,,4710,3.46830575
2000,,4720,3.392579283
2000,,4730,3.454502804
2000,,4740,3.406256983
2000,,4750,3.402009927
2000,,4760,3.437996282
2000,,4770,3.495085005
2000,,4780,3.529857006
2000,,4790,3.463964606
2000,,4800,3.415632672
2000,,4810,5.093039571
2000,,4820,3.553772268
2000,,4830,3.679323606
2000,,4840,3.921081685
2000,,4850,4.38969401
2000,,4860,4.547294271
2000,,4870,3.658252762
2000,,4880,3.661594841
2000,,4890,3.680671407
2000,,4900,3.730801752
2000,,4910,3.48334683
2000,,4920,4.536312294
2000,,4930,4.42198205
2000,,4940,3.475702905
2000,,4950,3.403945361
2000,,4960,5.187223593
2000,,4970,3.430744147
2000,,4980,3.84883436
2000,,4990,3.521868365
2000,,5000,3.466048984
